"ageAvant","clasDens_Ini","essReg_Ini","abonEric","alt","HLI","prodPot","degJour","preTot","saiCro","indArid","IDR100p","codSol","IQSp"
56.7107640711361,"D","EPN",52,341,0.852789417622599,68.4,1129,948,119.39181645168,1.9,0.477335853656581,"Tills",13.5367117095917
95.3713540423356,"C","EPN",46,453,0.726076345120977,70.7,1067,956,138.642003037967,1.4,0.387717682106208,"Tills",12.8263166548238
63.2909659816895,"D","EPN",47,401,0.839894485963786,79.9,1056,957,127.62247930048,1.7,0.34693465365916,"Tills",13.8758944360791
142.055297197452,"C","PIG",53,452,0.807019984152573,72.9,1077,938,111.316293592099,2,0.277215550160357,"Tills",13.9816830152139
41.9638139306142,"D","EPN",47,377,0.843123800127354,78.2,1069,956,131.200374541804,1.8,0.476163014191634,"Tills",12.8065499131208
82.2241573472033,"C","EPN",54,359,0.825338430620449,65.8,1099,930,134.216443393379,1.8,0.477008323891997,"Tills",13.5861280313559
35.3082909350999,"C","EPN",51,381,0.817065934029551,74.6,1041,932,122.239312846214,2.1,0.575047148725747,"Sables Mésiques",12.3259170918606
117.201438292565,"D","EPN",51,381,0.825762555890076,74.6,1041,932,112.23486663308,2.1,0.383966339777644,"Tills",13.5181460209285
47.7259069358277,"D","EPN",45,277,0.853434976272152,77.4,1122,885,129.89002878312,2.6,0.413989144581933,"Tills",12.3579712846006
75.8447362509458,"C","EPN",49,405,0.837621562126535,76.6,1076,959,139.936202380341,1.8,0.44745454442128,"Tills",13.1959301583911
53.1576503745056,"D","EPN",54,394,0.819786013595511,68.6,1050,930,138.613834583666,1.7,0.457291692697398,"Tills",13.2534294998033
93.3326270572838,"D","EPN",47,286,0.851608528406034,85.1,1103,900,119.29850431392,2.4,0.308559587646415,"Sables Mésiques",12.8933074016174
55.6190744076878,"AB","EPN",52,357,0.842600745882713,74.8,1151,936,112.203580613714,2.2,0.431730134315115,"Tills",13.7496066703869
55.659229530052,"D","EPN",49,372,0.846223319926495,76.6,1076,959,116.56573056709,1.8,0.41333686162579,"Tills",12.4524053273436
33.1551375419906,"C","EPN",56,305,0.824177675256389,87,1092,923,121.318272633944,1.8,0.431004562215794,"Tills",11.5624765911869
133.408244618721,"D","EPN",45,299,0.843334087638037,77.4,1122,885,114.379783724435,2.6,0.480634100450755,"Organic",14.2339532445354
54.6087224869867,"AB","EPN",45,293,0.851270889819201,77.4,1122,885,139.297437390778,2.6,0.334349106622278,"Sables Mésiques",13.2568524266188
138.200859854213,"AB","EPN",57,354,0.847669968630125,73.4,1072,920,133.677788299974,2.1,0.258772243124072,"Tills",12.3505846163829
48.1540509315987,"AB","PIG",42,378,0.842800183030804,63.3,1145,945,116.204409764614,1.8,0.375230878091644,"Tills",12.1747825445504
148.817951205229,"C","EPN",55,306,0.833594564488351,67.7,1107,936,121.584889686201,1.5,0.447814268440217,"Sables Hidriques",11.8490288539794
36.9181943422675,"D","PIG",52,341,0.835095627910012,82.1,1154,929,130.725871755276,1.7,0.458617730394011,"Tills",10.5875535638624
164.688223662328,"D","EPN",55,301,0.846297569247724,67.7,1107,936,127.543650427833,1.5,0.540420958782102,"Tills",11.5597602938181
28.1361215935136,"D","PIG",54,318,0.803088690851334,68.6,1050,930,121.214857061859,1.7,0.340514956759759,"Tills",13.8444904561173
98.5415484569631,"D","EPN",46,452,0.842007305529664,70.7,1067,956,112.474335497245,1.4,0.45911804362613,"Sables Mésiques",12.5676858344466
50.36138290822,"D","EPN",53,375,0.840585299736578,72.9,1077,938,128.723924045917,2,0.365069241956525,"Tills",12.3459315933871
102.299349126314,"C","EPN",52,359,0.816627620326495,74.8,1151,936,124.07001121901,2.2,0.423123400794338,"Tills",11.9653863634228
45.5464331916927,"AB","EPN",52,321,0.844059089994089,72.2,1195,929,122.277653689962,2.1,0.485888046292137,"Tills",13.2257049929451
114.441533534936,"D","PIG",53,380,0.830824371943986,72.9,1077,938,124.520691176876,2,0.384307056848789,"Tills",12.6590484783304
37.7649612232655,"C","EPN",47,363,0.850065176797551,80.1,1061,973,127.283111659344,1.6,0.522448366289714,"Tills",12.6446209521573
152.804209314008,"C","EPN",53,360,0.777484540380965,80,1092,941,137.760797562078,1.5,0.400726637475799,"Tills",12.6410070486476
37.3250203218411,"C","EPN",55,382,0.829276874877903,76.5,1072,933,116.916704084724,2,0.293616530749748,"Tills",12.957765583362
106.74816558946,"C","EPN",46,430,0.850597280333872,70.7,1067,956,129.639356548432,1.4,0.238488637639131,"Tills",11.6819394525689
40.3168609261178,"D","EPN",56,383,0.827669142404217,75.9,1104,920,130.720504571218,1.7,0.30597689974935,"Sables Mésiques",12.3407264389151
147.788078265586,"D","EPN",57,310,0.831587486563789,85,1165,934,118.430431610905,1.8,0.383549612620048,"Tills",12.8493086696636
49.5777822129037,"AB","EPN",51,351,0.823770139263527,74.6,1041,932,129.577950732782,2.1,0.575177287489374,"Tills",12.2371713388688
